mappingId,mappingVersion,jsonPath,xmlXPath,rdfSubjectType,rdfProperty,rdfConstruct,rdfMappingStatus,rdfMappingReason,datatype,cardinality,obligation,controlledVocabulary,unitRule,source,semanticMeaning,notes
dpp.identity.sourceRecordId,1.0.0,identity.sourceRecordId,/s4c:DigitalProductPassport/s4c:Identity/s4c:SourceRecordId,s4c:TextileEntity,s4c:sourceRecordIdentifier,,direct,,xsd:string,0..1,optional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined source record id field at identity.sourceRecordId.,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.carriers[],1.0.0,carriers[],/s4c:DigitalProductPassport/s4c:Carriers/s4c:Carrier,s4c:DigitalProductPassport,s4c:hasCarrierBinding,,direct,,object,0..n,optional,,,spec/schemas/dpp-1.0.0.schema.json,Carrier binding history,
dpp.carriers[].carrierId,1.0.0,carriers[].carrierId,/s4c:DigitalProductPassport/s4c:Carriers/s4c:Carrier/s4c:CarrierId,s4c:CarrierBinding,,rdf:subject,subjectIdentifier,,xsd:anyURI,1,conditional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined carrier id field at carriers[].carrierId.,The JSON identifier becomes the RDF resource IRI; the complete value also remains in the reversible rdf:JSON snapshot.
dpp.carriers[].carrierType,1.0.0,carriers[].carrierType,/s4c:DigitalProductPassport/s4c:Carriers/s4c:Carrier/s4c:CarrierType,s4c:CarrierBinding,s4c:carrierType,,direct,,xsd:string,1,conditional,carrier-type,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined carrier type field at carriers[].carrierType.,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.carriers[].encodingScheme,1.0.0,carriers[].encodingScheme,/s4c:DigitalProductPassport/s4c:Carriers/s4c:Carrier/s4c:EncodingScheme,s4c:CarrierBinding,s4c:encodingScheme,,direct,,xsd:string,1,conditional,encoding-scheme,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined encoding scheme field at carriers[].encodingScheme.,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.carriers[].encodedIdentifier,1.0.0,carriers[].encodedIdentifier,/s4c:DigitalProductPassport/s4c:Carriers/s4c:Carrier/s4c:EncodedIdentifier,s4c:CarrierBinding,s4c:encodedIdentifier,,direct,,xsd:string,1,conditional,,,spec/schemas/dpp-1.0.0.schema.json,Identifier encoded by the carrier,
dpp.carriers[].resolverUri,1.0.0,carriers[].resolverUri,/s4c:DigitalProductPassport/s4c:Carriers/s4c:Carrier/s4c:ResolverUri,s4c:CarrierBinding,s4c:resolverUri,,direct,,xsd:string,0..1,optional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined resolver uri field at carriers[].resolverUri.,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.carriers[].bindingStatus,1.0.0,carriers[].bindingStatus,/s4c:DigitalProductPassport/s4c:Carriers/s4c:Carrier/s4c:BindingStatus,s4c:CarrierBinding,s4c:bindingStatus,,direct,,xsd:string,1,conditional,binding-status,,spec/schemas/dpp-1.0.0.schema.json,Binding lifecycle state,
dpp.carriers[].boundAt,1.0.0,carriers[].boundAt,/s4c:DigitalProductPassport/s4c:Carriers/s4c:Carrier/s4c:BoundAt,s4c:CarrierBinding,s4c:boundAt,,direct,,xsd:dateTime,1,conditional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined bound at field at carriers[].boundAt.,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.carriers[].boundBy,1.0.0,carriers[].boundBy,/s4c:DigitalProductPassport/s4c:Carriers/s4c:Carrier/s4c:BoundBy,s4c:CarrierBinding,s4c:boundBy,,direct,,xsd:anyURI,1,conditional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined bound by field at carriers[].boundBy.,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.carriers[].closedAt,1.0.0,carriers[].closedAt,/s4c:DigitalProductPassport/s4c:Carriers/s4c:Carrier/s4c:ClosedAt,s4c:CarrierBinding,s4c:closedAt,,direct,,xsd:dateTime,0..1,conditional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined closed at field at carriers[].closedAt.,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.carriers[].placement,1.0.0,carriers[].placement,/s4c:DigitalProductPassport/s4c:Carriers/s4c:Carrier/s4c:Placement,s4c:CarrierBinding,s4c:placement,,direct,,xsd:string,0..1,optional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined placement field at carriers[].placement.,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.product,1.0.0,product,/s4c:DigitalProductPassport/s4c:Product,s4c:TextileEntity,,rdf:value/rdf:JSON,notApplicable,structural-container: child fields carry the product semantics,object,1,mandatory,,,spec/schemas/dpp-1.0.0.schema.json,Product description,Preserved only in the canonical rdf:JSON transport snapshot; not counted as semantic RDF coverage.
dpp.product.articleClass,1.0.0,product.articleClass,/s4c:DigitalProductPassport/s4c:Product/s4c:ArticleClass,s4c:TextileEntity,s4c:articleClass,,direct,,xsd:string,1,mandatory,article-class,,spec/schemas/dpp-1.0.0.schema.json,Article class token,
dpp.product.fabricConstruction,1.0.0,product.fabricConstruction,/s4c:DigitalProductPassport/s4c:Product/s4c:FabricConstruction,s4c:TextileEntity,s4c:fabricConstruction,,direct,,xsd:string,0..1,optional,fabric-construction,,spec/schemas/dpp-1.0.0.schema.json,Fabric construction token,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.product.colourPrimary,1.0.0,product.colourPrimary,/s4c:DigitalProductPassport/s4c:Product/s4c:ColourPrimary,s4c:TextileEntity,s4c:colourPrimary,,direct,,xsd:string,0..1,optional,colour-family,,spec/schemas/dpp-1.0.0.schema.json,Primary colour family token,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.product.sizeDesignation,1.0.0,product.sizeDesignation,/s4c:DigitalProductPassport/s4c:Product/s4c:SizeDesignation,s4c:TextileEntity,s4c:sizeDesignation,,direct,,xsd:string,0..1,optional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined size designation field at product.sizeDesignation.,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.product.mass,1.0.0,product.mass,/s4c:DigitalProductPassport/s4c:Product/s4c:Mass,s4c:TextileEntity,,rdf:value/rdf:JSON,notApplicable,structural-container: value and unit child fields carry the mass semantics,object,0..1,optional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined mass field at product.mass.,Preserved only in the canonical rdf:JSON transport snapshot; not counted as semantic RDF coverage.
dpp.product.mass.value,1.0.0,product.mass.value,/s4c:DigitalProductPassport/s4c:Product/s4c:Mass/s4c:Value,s4c:TextileEntity,s4c:massValue,,direct,,xsd:decimal,1,conditional,,Sibling product.mass.unit is required by the quantity definition.,spec/schemas/dpp-1.0.0.schema.json,Mass quantity value,
dpp.product.mass.unit,1.0.0,product.mass.unit,/s4c:DigitalProductPassport/s4c:Product/s4c:Mass/s4c:Unit,s4c:TextileEntity,s4c:massUnit,,direct,,xsd:string,1,conditional,,Required whenever product.mass is present; unit token is not inferred.,spec/schemas/dpp-1.0.0.schema.json,Mass unit,
dpp.product.condition,1.0.0,product.condition,/s4c:DigitalProductPassport/s4c:Product/s4c:Condition,s4c:TextileEntity,s4c:condition,,direct,,xsd:string,0..1,optional,condition,,spec/schemas/dpp-1.0.0.schema.json,Condition token,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.product.qualityGrade,1.0.0,product.qualityGrade,/s4c:DigitalProductPassport/s4c:Product/s4c:QualityGrade,s4c:TextileEntity,s4c:qualityGrade,,direct,,xsd:string,0..1,optional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined quality grade field at product.qualityGrade.,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.product.technicalFlags[],1.0.0,product.technicalFlags[],/s4c:DigitalProductPassport/s4c:Product/s4c:TechnicalFlags/s4c:TechnicalFlag,s4c:TextileEntity,s4c:technicalFlag,,direct,,xsd:string,0..n,optional,technical-flag,,spec/schemas/dpp-1.0.0.schema.json,Technical flag tokens,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.materialObservations[],1.0.0,materialObservations[],/s4c:DigitalProductPassport/s4c:MaterialObservations/s4c:MaterialObservation,s4c:TextileEntity,s4c:hasObservation,,direct,,object,1..n,mandatory,,,spec/schemas/dpp-1.0.0.schema.json,Independent observation set entries,
dpp.materialObservations[].observationId,1.0.0,materialObservations[].observationId,/s4c:DigitalProductPassport/s4c:MaterialObservations/s4c:MaterialObservation/s4c:ObservationId,s4c:MaterialObservation,,rdf:subject,subjectIdentifier,,xsd:anyURI,1,mandatory,,,spec/schemas/dpp-1.0.0.schema.json,Observation identifier,The JSON identifier becomes the RDF resource IRI; the complete value also remains in the reversible rdf:JSON snapshot.
dpp.materialObservations[].fibreType,1.0.0,materialObservations[].fibreType,/s4c:DigitalProductPassport/s4c:MaterialObservations/s4c:MaterialObservation/s4c:FibreType,s4c:MaterialObservation,s4c:fibreType,,direct,,xsd:string,1,mandatory,fibre-type,,spec/schemas/dpp-1.0.0.schema.json,Fibre type token,
dpp.materialObservations[].percentage,1.0.0,materialObservations[].percentage,/s4c:DigitalProductPassport/s4c:MaterialObservations/s4c:MaterialObservation/s4c:Percentage,s4c:MaterialObservation,s4c:percentage,,direct,,xsd:decimal,0..1,optional,,percentageBasis is required whenever percentage is present.,spec/schemas/dpp-1.0.0.schema.json,Observed proportion,
dpp.materialObservations[].percentageBasis,1.0.0,materialObservations[].percentageBasis,/s4c:DigitalProductPassport/s4c:MaterialObservations/s4c:MaterialObservation/s4c:PercentageBasis,s4c:MaterialObservation,s4c:percentageBasis,,direct,,xsd:string,0..1,conditional,percentage-basis,Required whenever percentage is present.,spec/schemas/dpp-1.0.0.schema.json,Proportion basis,
dpp.materialObservations[].valueStatus,1.0.0,materialObservations[].valueStatus,/s4c:DigitalProductPassport/s4c:MaterialObservations/s4c:MaterialObservation/s4c:ValueStatus,s4c:MaterialObservation,s4c:valueStatus,,direct,,xsd:string,1,mandatory,value-status,,spec/schemas/dpp-1.0.0.schema.json,"Supplied, unknown, not measured or withheld state",
dpp.materialObservations[].method,1.0.0,materialObservations[].method,/s4c:DigitalProductPassport/s4c:MaterialObservations/s4c:MaterialObservation/s4c:Method,s4c:MaterialObservation,s4c:usedMethod,,direct,,xsd:string,1,mandatory,method,,spec/schemas/dpp-1.0.0.schema.json,Method producing the observation,
dpp.materialObservations[].sourceOrganisationId,1.0.0,materialObservations[].sourceOrganisationId,/s4c:DigitalProductPassport/s4c:MaterialObservations/s4c:MaterialObservation/s4c:SourceOrganisationId,s4c:MaterialObservation,s4c:observedBy,,direct,,xsd:anyURI,1,mandatory,,,spec/schemas/dpp-1.0.0.schema.json,Observation source organisation,
dpp.materialObservations[].sourceSystemId,1.0.0,materialObservations[].sourceSystemId,/s4c:DigitalProductPassport/s4c:MaterialObservations/s4c:MaterialObservation/s4c:SourceSystemId,s4c:MaterialObservation,s4c:producedBySystem,,direct,,xsd:anyURI,0..1,optional,,,spec/schemas/dpp-1.0.0.schema.json,System producing the observation,
dpp.materialObservations[].observedAt,1.0.0,materialObservations[].observedAt,/s4c:DigitalProductPassport/s4c:MaterialObservations/s4c:MaterialObservation/s4c:ObservedAt,s4c:MaterialObservation,s4c:observedAt,,direct,,xsd:dateTime,1,mandatory,,,spec/schemas/dpp-1.0.0.schema.json,Observation timestamp with offset,
dpp.materialObservations[].confidence,1.0.0,materialObservations[].confidence,/s4c:DigitalProductPassport/s4c:MaterialObservations/s4c:MaterialObservation/s4c:Confidence,s4c:MaterialObservation,,rdf:value/rdf:JSON,notApplicable,structural-container: value and scale child fields carry the confidence semantics,object,0..1,optional,,,spec/schemas/dpp-1.0.0.schema.json,Confidence value and scale,Preserved only in the canonical rdf:JSON transport snapshot; not counted as semantic RDF coverage.
dpp.materialObservations[].confidence.value,1.0.0,materialObservations[].confidence.value,/s4c:DigitalProductPassport/s4c:MaterialObservations/s4c:MaterialObservation/s4c:Confidence/s4c:Value,s4c:MaterialObservation,s4c:confidenceValue,,direct,,xsd:decimal,1,conditional,,Sibling confidence.scale is required.,spec/schemas/dpp-1.0.0.schema.json,Confidence value,
dpp.materialObservations[].confidence.scale,1.0.0,materialObservations[].confidence.scale,/s4c:DigitalProductPassport/s4c:MaterialObservations/s4c:MaterialObservation/s4c:Confidence/s4c:Scale,s4c:MaterialObservation,s4c:confidenceScale,,direct,,xsd:string,1,conditional,confidence-scale,Required with confidence.value.,spec/schemas/dpp-1.0.0.schema.json,Confidence scale,
dpp.materialObservations[].evidenceRef,1.0.0,materialObservations[].evidenceRef,/s4c:DigitalProductPassport/s4c:MaterialObservations/s4c:MaterialObservation/s4c:EvidenceRef,s4c:MaterialObservation,s4c:hasEvidenceReference,,direct,,xsd:anyURI,0..1,optional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined evidence ref field at materialObservations[].evidenceRef.,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.components[],1.0.0,components[],/s4c:DigitalProductPassport/s4c:Components/s4c:Component,s4c:TextileEntity,s4c:hasComponent,,direct,,object,0..n,optional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined components item field at components[].,
dpp.components[].componentId,1.0.0,components[].componentId,/s4c:DigitalProductPassport/s4c:Components/s4c:Component/s4c:ComponentId,s4c:Component,,rdf:subject,subjectIdentifier,,xsd:anyURI,1,conditional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined component id field at components[].componentId.,The JSON identifier becomes the RDF resource IRI; the complete value also remains in the reversible rdf:JSON snapshot.
dpp.components[].componentType,1.0.0,components[].componentType,/s4c:DigitalProductPassport/s4c:Components/s4c:Component/s4c:ComponentType,s4c:Component,s4c:componentType,,direct,,xsd:string,1,conditional,component-type,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined component type field at components[].componentType.,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.components[].parentComponentId,1.0.0,components[].parentComponentId,/s4c:DigitalProductPassport/s4c:Components/s4c:Component/s4c:ParentComponentId,s4c:Component,s4c:partOf,,direct,,xsd:anyURI,0..1,optional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined parent component id field at components[].parentComponentId.,
dpp.components[].materialObservationRefs[],1.0.0,components[].materialObservationRefs[],/s4c:DigitalProductPassport/s4c:Components/s4c:Component/s4c:MaterialObservationRefs/s4c:MaterialObservationRef,s4c:Component,s4c:hasObservation,,direct,,xsd:anyURI,0..n,optional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined material observation refs item field at components[].materialObservationRefs[].,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.components[].mass,1.0.0,components[].mass,/s4c:DigitalProductPassport/s4c:Components/s4c:Component/s4c:Mass,s4c:Component,,rdf:value/rdf:JSON,notApplicable,structural-container: value and unit child fields carry the component mass semantics,object,0..1,optional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined mass field at components[].mass.,Preserved only in the canonical rdf:JSON transport snapshot; not counted as semantic RDF coverage.
dpp.components[].mass.value,1.0.0,components[].mass.value,/s4c:DigitalProductPassport/s4c:Components/s4c:Component/s4c:Mass/s4c:Value,s4c:Component,s4c:massValue,,direct,,xsd:decimal,1,conditional,,Sibling components[].mass.unit is required by the quantity definition.,spec/schemas/dpp-1.0.0.schema.json,Schema-defined value field at components[].mass.value.,
dpp.components[].mass.unit,1.0.0,components[].mass.unit,/s4c:DigitalProductPassport/s4c:Components/s4c:Component/s4c:Mass/s4c:Unit,s4c:Component,s4c:massUnit,,direct,,xsd:string,1,conditional,,Required whenever component mass is present; unit token is not inferred.,spec/schemas/dpp-1.0.0.schema.json,Schema-defined unit field at components[].mass.unit.,
dpp.components[].separable,1.0.0,components[].separable,/s4c:DigitalProductPassport/s4c:Components/s4c:Component/s4c:Separable,s4c:Component,s4c:separable,,direct,,xsd:boolean,0..1,optional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined separable field at components[].separable.,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.lifecycleEvents[],1.0.0,lifecycleEvents[],/s4c:DigitalProductPassport/s4c:LifecycleEvents/s4c:LifecycleEvent,s4c:DigitalProductPassport,s4c:hasLifecycleEvent,,direct,,object,0..n,optional,,,spec/schemas/dpp-1.0.0.schema.json,Append-only lifecycle events,
dpp.lifecycleEvents[].eventId,1.0.0,lifecycleEvents[].eventId,/s4c:DigitalProductPassport/s4c:LifecycleEvents/s4c:LifecycleEvent/s4c:EventId,s4c:LifecycleEvent,,rdf:subject,subjectIdentifier,,xsd:anyURI,1,conditional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined event id field at lifecycleEvents[].eventId.,The JSON identifier becomes the RDF resource IRI; the complete value also remains in the reversible rdf:JSON snapshot.
dpp.lifecycleEvents[].eventType,1.0.0,lifecycleEvents[].eventType,/s4c:DigitalProductPassport/s4c:LifecycleEvents/s4c:LifecycleEvent/s4c:EventType,s4c:LifecycleEvent,s4c:eventType,,direct,,xsd:string,1,conditional,event-type,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined event type field at lifecycleEvents[].eventType.,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.lifecycleEvents[].eventTime,1.0.0,lifecycleEvents[].eventTime,/s4c:DigitalProductPassport/s4c:LifecycleEvents/s4c:LifecycleEvent/s4c:EventTime,s4c:LifecycleEvent,s4c:eventTime,,direct,,xsd:dateTime,1,conditional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined event time field at lifecycleEvents[].eventTime.,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.lifecycleEvents[].eventTimeZoneOffset,1.0.0,lifecycleEvents[].eventTimeZoneOffset,/s4c:DigitalProductPassport/s4c:LifecycleEvents/s4c:LifecycleEvent/s4c:EventTimeZoneOffset,s4c:LifecycleEvent,s4c:eventTimeZoneOffset,,direct,,xsd:string,1,conditional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined event time zone offset field at lifecycleEvents[].eventTimeZoneOffset.,
dpp.lifecycleEvents[].recordedAt,1.0.0,lifecycleEvents[].recordedAt,/s4c:DigitalProductPassport/s4c:LifecycleEvents/s4c:LifecycleEvent/s4c:RecordedAt,s4c:LifecycleEvent,s4c:recordedAt,,direct,,xsd:dateTime,1,conditional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined recorded at field at lifecycleEvents[].recordedAt.,
dpp.lifecycleEvents[].actorOrganisationId,1.0.0,lifecycleEvents[].actorOrganisationId,/s4c:DigitalProductPassport/s4c:LifecycleEvents/s4c:LifecycleEvent/s4c:ActorOrganisationId,s4c:LifecycleEvent,s4c:performedBy,,direct,,xsd:anyURI,1,conditional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined actor organisation id field at lifecycleEvents[].actorOrganisationId.,
dpp.lifecycleEvents[].sourceSystemId,1.0.0,lifecycleEvents[].sourceSystemId,/s4c:DigitalProductPassport/s4c:LifecycleEvents/s4c:LifecycleEvent/s4c:SourceSystemId,s4c:LifecycleEvent,s4c:recordedBySystem,,direct,,xsd:anyURI,1,conditional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined source system id field at lifecycleEvents[].sourceSystemId.,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.lifecycleEvents[].facilityId,1.0.0,lifecycleEvents[].facilityId,/s4c:DigitalProductPassport/s4c:LifecycleEvents/s4c:LifecycleEvent/s4c:FacilityId,s4c:LifecycleEvent,s4c:occurredAtFacility,,direct,,xsd:anyURI,0..1,optional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined facility id field at lifecycleEvents[].facilityId.,
dpp.lifecycleEvents[].readPointId,1.0.0,lifecycleEvents[].readPointId,/s4c:DigitalProductPassport/s4c:LifecycleEvents/s4c:LifecycleEvent/s4c:ReadPointId,s4c:LifecycleEvent,s4c:capturedAtReadPoint,,direct,,xsd:anyURI,0..1,optional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined read point id field at lifecycleEvents[].readPointId.,
dpp.lifecycleEvents[].bizStep,1.0.0,lifecycleEvents[].bizStep,/s4c:DigitalProductPassport/s4c:LifecycleEvents/s4c:LifecycleEvent/s4c:BizStep,s4c:LifecycleEvent,s4c:businessStep,,direct,,xsd:string,0..1,optional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined biz step field at lifecycleEvents[].bizStep.,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.lifecycleEvents[].disposition,1.0.0,lifecycleEvents[].disposition,/s4c:DigitalProductPassport/s4c:LifecycleEvents/s4c:LifecycleEvent/s4c:Disposition,s4c:LifecycleEvent,s4c:disposition,,direct,,xsd:string,0..1,optional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined disposition field at lifecycleEvents[].disposition.,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.lifecycleEvents[].inputRefs[],1.0.0,lifecycleEvents[].inputRefs[],/s4c:DigitalProductPassport/s4c:LifecycleEvents/s4c:LifecycleEvent/s4c:InputRefs/s4c:InputRef,s4c:LifecycleEvent,s4c:consumesInput,,direct,,xsd:anyURI,0..n,conditional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined input refs item field at lifecycleEvents[].inputRefs[].,
